"id","category","section","config","created_at","updated_at"
1,VM,Preços de VM,"[{""label"":""vCPU"",""by"":""unit"",""type"":""BRL"",""value"":45},{""label"":""RAM"",""by"":""GB"",""type"":""BRL"",""value"":9},{""label"":""NVMe"",""by"":""GB"",""type"":""BRL"",""value"":0.9},{""label"":""IP P\u00fablico"",""by"":""unit"",""type"":""BRL"",""value"":30}]",,
2,BareMetal,Modelos de CPU,"[{""label"":""2x Intel Xeon E5-2680v4 28c\/56t 2.4GHz\/3.3GHz - Dispon\u00edvel"",""type"":""BRL"",""value"":700},{""label"":""2x Intel Xeon Gold 5418Y 2G, 48C\/96T DDR5"",""type"":""BRL"",""value"":3600},{""label"":""2 x Intel Xeon Gold 6138 40c\/80t 2.0GHz\/3.7GHz - Dispon\u00edvel"",""type"":""BRL"",""value"":850}]",,
3,BareMetal,Opções de RAM,"[{""label"":""128GB"",""type"":""BRL"",""value"":400},{""label"":""256GB"",""type"":""BRL"",""value"":800},{""label"":""384GB"",""type"":""BRL"",""value"":1200},{""label"":""512GB"",""type"":""BRL"",""value"":1500}]",,
4,BareMetal,Opções de Disco,"[{""label"":""1TB NVMe"",""by"":""unit"",""type"":""BRL"",""value"":150},{""label"":""2TB NVMe"",""by"":""unit"",""type"":""BRL"",""value"":300},{""label"":""4TB NVMe"",""by"":""unit"",""type"":""BRL"",""value"":580}]",,
5,GPU,Preços de GPU,"[{""label"":""Sem GPU"",""type"":""USD"",""value"":0},{""label"":""NVIDIA T4"",""type"":""USD"",""value"":1090},{""label"":""NVIDIA A100 40GB"",""type"":""USD"",""value"":2400},{""label"":""NVIDIA A100 80GB"",""type"":""USD"",""value"":3200},{""label"":""NVIDIA H100 80GB"",""type"":""USD"",""value"":7600}]",,
6,Add-ons,Add-ons,"[{""label"":""Antivirus"",""by"":""unit"",""type"":""BRL"",""value"":69.9},{""label"":""Firewall pfSense"",""type"":""BRL"",""value"":199.9},{""label"":""TSplus"",""by"":""unit"",""type"":""BRL"",""value"":40},{""label"":""CAL"",""by"":""unit"",""type"":""BRL"",""value"":55},{""label"":""Veeam VM"",""by"":""unit"",""type"":""BRL"",""value"":50},{""label"":""Veeam Agent"",""by"":""unit"",""type"":""BRL"",""value"":45}]",,
7,SQL Server,SQL Server,"[{""label"":""Nenhum"",""type"":""BRL"",""value"":0},{""label"":""WEB"",""type"":""BRL"",""value"":200},{""label"":""WE"",""type"":""BRL"",""value"":265},{""label"":""STD"",""type"":""BRL"",""value"":2240}]",,
8,Storage,Storage SAS,"{""Brasil"":[{""label"":""1-10 TB"",""by"":""TB"",""type"":""BRL"",""value"":119},{""label"":""11-100 TB"",""by"":""TB"",""type"":""BRL"",""value"":99},{""label"":""101-500 TB"",""by"":""TB"",""type"":""BRL"",""value"":75},{""label"":""501-1024 TB"",""by"":""TB"",""type"":""BRL"",""value"":55},{""label"":"">1024 TB"",""by"":""TB"",""type"":""BRL"",""value"":45}],""Estados Unidos"":[{""label"":""1-10 TB"",""by"":""TB"",""type"":""BRL"",""value"":99},{""label"":""11-100 TB"",""by"":""TB"",""type"":""BRL"",""value"":79},{""label"":""101-500 TB"",""by"":""TB"",""type"":""BRL"",""value"":55},{""label"":""501-1024 TB"",""by"":""TB"",""type"":""BRL"",""value"":45},{""label"":"">1024 TB"",""by"":""TB"",""type"":""BRL"",""value"":42}]}",,
9,Storage,SSD NVMe,"[{""label"":""Pre\u00e7o por GB"",""by"":""GB"",""type"":""BRL"",""value"":0.9}]",,
10,Kubernetes,Preços Base dos Planos,"[{""label"":""SMALL"",""description"":""3 nodes + 4 vCPU \/ 8 GB RAM \/ 100 GB Disco"",""type"":""BRL"",""by"":""month"",""value"":3200},{""label"":""MEDIUM"",""description"":""5 nodes + 6 vCPU \/ 16 GB RAM \/ 150 GB Disco"",""type"":""BRL"",""by"":""month"",""value"":6200},{""label"":""LARGE"",""description"":""7 nodes + 8 vCPU \/ 32 GB RAM \/ 200 GB Disco"",""type"":""BRL"",""by"":""month"",""value"":11900}]",,
11,Kubernetes,Add-ons Kubernetes,"[{""label"":""Suporte 24x7"",""type"":""BRL"",""by"":""month"",""value"":1200},{""label"":""Backup (Velero)"",""type"":""BRL"",""by"":""month"",""value"":600},{""label"":""DR multi-site"",""type"":""BRL"",""by"":""month"",""value"":2500},{""label"":""Observabilidade avan\u00e7ada"",""type"":""BRL"",""by"":""month"",""value"":900},{""label"":""CI\/CD gerenciado"",""type"":""BRL"",""by"":""month"",""value"":1500},{""label"":""Horas DevOps"",""type"":""BRL"",""by"":""hour"",""value"":250}]",,
12,Geral,Taxa de Câmbio,"[{""label"":""Cota\u00e7\u00e3o Padr\u00e3o"",""type"":""BRL"",""value"":5}]",,
13,Geral,Descontos por Vigência,"[{""label"":""1 m\u00eas"",""type"":""percentage"",""value"":0},{""label"":""12 meses"",""type"":""percentage"",""value"":5},{""label"":""36 meses"",""type"":""percentage"",""value"":12},{""label"":""48 meses"",""type"":""percentage"",""value"":15}]",,
14,Geral,OPEN SaaS,"[{""label"":""Pre\u00e7o por Usu\u00e1rio"",""by"":""user"",""type"":""BRL"",""value"":85}]",,
